keyword,position,title,place_id,data_id,data_cid,provider_id,rating,reviews,price,type,types,type_id,type_ids,address,open_state,phone,website,latitude,longitude,user_review,thumbnail,serpapi_thumbnail,reviews_link,photos_link,place_id_search,operating_hours_json,service_options_json
Nhà hàng Đà Nẵng,2,Hải sản Mộc quán Đà Nẵng,ChIJx6-KGnIXQjER7x-T0zeOlBw,0x314217721a8aafc7:0x1c948e37d3931fef,2059427300039139311,/g/11h64qj0wn,4.7,15506.0,$$,Nhà hàng hải sản,"Nhà hàng hải sản, Nhà hàng",seafood_restaurant,"seafood_restaurant, restaurant","26 Tô Hiến Thành, Phước Mỹ, Sơn Trà, Đà Nẵng 550000, Việt Nam",Đang mở cửa ⋅ Đóng cửa lúc 22:30,+84 905 665 058,https://www.facebook.com/mocseafood,16.0639962,108.24157439999999,"""Nhà hàng rất đông full bàn nên khách đến phải ngồi xếp hàng chờ đến lượt.""",https://lh3.googleusercontent.com/p/AF1QipPtOsZN_eeunmn-tBE4WCyOzBGyT9-XxEydfV9d=w80-h106-k-no,https://serpapi.com/images/url/j_5ADHicuxmXUVJSUGylr5-TYayXnp-fnpNaWpxalJyfV5KaV6KXnJ-rX6Dv6GYYmFkQUOJfHOUXn5pampebp1vi5GoS7lzpX-XkXhliqRtR4VqZkhZmmWJbbmGgm2FoYKabrZuXDwDBKCHK,https://serpapi.com/search.json?data_id=0x314217721a8aafc7%3A0x1c948e37d3931fef&engine=google_maps_reviews&hl=vi,https://serpapi.com/search.json?data_id=0x314217721a8aafc7%3A0x1c948e37d3931fef&engine=google_maps_photos&hl=vi,https://serpapi.com/search.json?engine=google_maps&google_domain=google.com&hl=vi&place_id=ChIJx6-KGnIXQjER7x-T0zeOlBw,"{""thứ hai"": ""10:30–22:30"", ""thứ ba"": ""10:30–22:30"", ""thứ tư"": ""10:30–22:30"", ""thứ năm"": ""10:30–22:30"", ""thứ sáu"": ""10:30–22:30"", ""thứ bảy"": ""10:30–22:30"", ""chủ nhật"": ""10:30–22:30""}","{""Ăn_tại_chỗ"": true, ""Đồ_ăn_mang_đi"": true, ""giao_hàng"": true}"
Nhà hàng Đà Nẵng,5,Bếp Cuốn Đà Nẵng,ChIJ-UgnY_QXQjERJTTHpNvcFNw,0x314217f4632748f9:0xdc14dcdba4c73425,15858543023798826021,/g/11hz90gsyw,4.9,11874.0,100-300 N ₫,Nhà hàng Việt Nam,"Nhà hàng Việt Nam, Nhà hàng",vietnamese_restaurant,"vietnamese_restaurant, restaurant","31-33 Trần Bạch Đằng, Phước Mỹ, Sơn Trà, Đà Nẵng 550000, Việt Nam",Đang mở cửa ⋅ Đóng cửa lúc 22:00,+84 702 689 989,https://www.facebook.com/DINNER.LUNCH.BEPCUON/,16.0579628,108.2451505,"""Quán view đẹp, đồ ăn ngon, đồ uống cũng ngon luôn.""",https://lh3.googleusercontent.com/gps-cs-s/AC9h4npAEk-oQSzhuoWVTm-DgyHBm4UayQNmZUA861gvKmM_9f2LSlZwnekIKkEcECj39_Z2QKlxz0kCEjSG5VXbBPbZR8t1BZWSMipQqPtqnaFAXCocPwZbxsSGnrumnxInZKuyxkx0LA=w122-h92-k-no,https://serpapi.com/images/url/btKMlXicBcHdboIwGADQJ6pI_Yks2UVBdAZdYBU1vTHSYDtLv6Ito_iCewbfxnNe_9K51n4EQSMnI2GMaOrO1g9uwNXgRtzoQLQWcYtsQJJITqElqUKmoE_ZmeNhr9FSDF-xnpaXofjWrCSLeSj-Mr07R1e8pQ3roVabTKU8TW6T6MxwkTX-OVZJeqPr2eFUxXnFfhYujNmR7n7b4p67O1xW5JQYnves8pau4dFp8BtgWTd45cdb8tmHGCMZYaQQmDeMcUaU,https://serpapi.com/search.json?data_id=0x314217f4632748f9%3A0xdc14dcdba4c73425&engine=google_maps_reviews&hl=vi,https://serpapi.com/search.json?data_id=0x314217f4632748f9%3A0xdc14dcdba4c73425&engine=google_maps_photos&hl=vi,https://serpapi.com/search.json?engine=google_maps&google_domain=google.com&hl=vi&place_id=ChIJ-UgnY_QXQjERJTTHpNvcFNw,"{""thứ hai"": ""10:30–22:00"", ""thứ ba"": ""10:30–22:00"", ""thứ tư"": ""10:30–22:00"", ""thứ năm"": ""10:30–22:00"", ""thứ sáu"": ""10:30–22:00"", ""thứ bảy"": ""10:30–22:00"", ""chủ nhật"": ""10:30–22:00""}","{""Ăn_tại_chỗ"": true, ""Đồ_ăn_mang_đi"": true, ""giao_hàng_gián_tiếp"": true}"
Nhà hàng Đà Nẵng,8,Cô Ba Phở bò,ChIJQYGTw4MZQjER9-WZcXZUfAM,0x31421983c3938141:0x37c54767199e5f7,251168546914690551,/g/11gnpx_f59,4.8,6552.0,100-200 N ₫,Nhà hàng,Nhà hàng,restaurant,restaurant,"154 Bạch Đằng, Hải Châu, Đà Nẵng 550000, Việt Nam",Đang mở cửa ⋅ Đóng cửa lúc 22:00,+84 236 3996 268,,16.0669705,108.22471879999999,"""Nhà hàng rất đáng để thử 1 lần khi đi du lịch Đà Nẵng""",https://lh3.googleusercontent.com/gps-cs-s/AC9h4npMEQvXm1ZYZ-PyzqFbGKVlw2H1r0ZC_B1QatvmCeYbspvkD_qiLJWub3g8V8_Oqa9yTJwnFezAwbYfleYdaQ5cHfLDKb321kJFzFHpCFxst-8B06CWDw9vsXUgb942dQ36jpw=w122-h92-k-no,https://serpapi.com/images/url/84aVBHicBcFRkoIgAADQE5GB1UgzfRRGjtWUM7uV_jhihKUCBkl5vr3E3qb3_v8qa7WZe15T-SOhlGj4y_BnqaTl0o5K1XpCG1AaYLwlwdVE6v066S8tzNIMHD9DR9lme2ociuBznJF8BZPC9i3hKTO6r8O8u-_i84v5IjgF-aEr8OcndpLyYelYemt4ei2SaRndduGW-QjWMR1opAl9GwuC1XhGzqHDvbn8CoYn6Jr4s4d2CwcRAhVGoAZSfQHDckRb,https://serpapi.com/search.json?data_id=0x31421983c3938141%3A0x37c54767199e5f7&engine=google_maps_reviews&hl=vi,https://serpapi.com/search.json?data_id=0x31421983c3938141%3A0x37c54767199e5f7&engine=google_maps_photos&hl=vi,https://serpapi.com/search.json?engine=google_maps&google_domain=google.com&hl=vi&place_id=ChIJQYGTw4MZQjER9-WZcXZUfAM,"{""thứ hai"": ""10:00–22:00"", ""thứ ba"": ""10:00–22:00"", ""thứ tư"": ""10:00–22:00"", ""thứ năm"": ""10:00–22:00"", ""thứ sáu"": ""10:00–22:00"", ""thứ bảy"": ""10:00–22:00"", ""chủ nhật"": ""10:00–22:00""}","{""Ăn_tại_chỗ"": true, ""Đồ_ăn_mang_đi"": true, ""giao_hàng"": true}"
Nhà hàng Đà Nẵng,13,Cơm nhà vui,ChIJi5XzTqsZQjERn5HbwcdvD5Y,0x314219ab4ef3958b:0x960f6fc7c1db919f,10812984134081417631,/g/11k02pk2dj,4.9,2153.0,100-200 N ₫,Nhà hàng Việt Nam,Nhà hàng Việt Nam,vietnamese_restaurant,vietnamese_restaurant,"86 Đ. 2 Tháng 9, Phước Ninh, Hải Châu, Đà Nẵng 10000, Việt Nam",Đang mở cửa ⋅ Đóng cửa lúc 22:00,+84 933 865 786,,16.0566182,108.22206709999999,"""Nhà hàng rất đẹp, đồ ăn ngon.""",https://lh3.googleusercontent.com/gps-cs-s/AC9h4noLSBqEgbgtaEeKSiNeVX4ORsU_b_VIIfc_dtjueX7GQNY4CetL3TQOdPNeC9efpL9QKAJo6FwCp_cMaeLElYc2arnTkhDeWgpOzk0h7pA30-FiY3nDxY8J1CYtJhoPaJGyiHk=w122-h92-k-no,https://serpapi.com/images/url/w5zCI3icBcHtFoEwGADgK5pSHeQcPzL5SEqE9quTeW0p29gcH9fnJtyN5_l9uTFKDy2r5W6HSclaeGi4UykMCNOh8moxpRHVSFsB9rknZLwd30J2ZKYKYbmtE9gXXrrRu_JY7heLMy1P5vKAoj_LEuJhMLGbZ-lpnQD24axiP1sGkexNn1iVdFVBHLaEOtVd5A2fwIGp9NPYvK8C10bTmrhi8iKDqIuJibhcV9HsXc-b0bPrOIj7DmqQkH-1j0Rx,https://serpapi.com/search.json?data_id=0x314219ab4ef3958b%3A0x960f6fc7c1db919f&engine=google_maps_reviews&hl=vi,https://serpapi.com/search.json?data_id=0x314219ab4ef3958b%3A0x960f6fc7c1db919f&engine=google_maps_photos&hl=vi,https://serpapi.com/search.json?engine=google_maps&google_domain=google.com&hl=vi&place_id=ChIJi5XzTqsZQjERn5HbwcdvD5Y,"{""thứ hai"": ""10:00–22:00"", ""thứ ba"": ""10:00–22:00"", ""thứ tư"": ""10:00–22:00"", ""thứ năm"": ""10:00–22:00"", ""thứ sáu"": ""10:00–22:00"", ""thứ bảy"": ""10:00–22:00"", ""chủ nhật"": ""10:00–22:00""}","{""Ăn_tại_chỗ"": true, ""Đồ_ăn_mang_đi"": true, ""giao_hàng"": true}"
Nhà hàng Đà Nẵng,18,Bé Ni 2,ChIJySI1VxkXQjERUSItJZQgxBE,0x31421719573522c9:0x11c42094252d2251,1280184014731027025,/g/1pzwdq9yk,4.8,9750.0,,Nhà hàng hải sản,"Nhà hàng hải sản, Nhà hàng",seafood_restaurant,"seafood_restaurant, restaurant","228 Võ Nguyên Giáp, Phước Mỹ, Sơn Trà, Đà Nẵng 550000, Việt Nam",Mở cả ngày,+84 773 515 685,,16.066801599999998,108.2449953,"""Dịch vụ tốt, đồ ăn ngon, nhân viên thân thiện""",https://lh3.googleusercontent.com/gps-cs-s/AC9h4noRAouk1aRGOIq2PXOWTxDJhuG_YexGj3o-Gj7ANGSzhjBIYzc4BaIGhvJybAlhTQ15ToXE3rbKlaMC5RNenkQArQrwbRLX8VnG_F8_4HzJyffaAG0VJU_VmGjGzUfVWWlmSmtQ=w122-h92-k-no,https://serpapi.com/images/url/ye7TdnicBcFbjoIwFADQFVXkYdRJ5qO-ruBrQAT8IkAKDZRepWVU9uci3I3nfN5c65v6MQzB7VGFWAnWK9YVKDWTelRga1Q3RQpFlEGXc-5IDCj2jZkFcHLv1l9yisPnyuM9pFf2hNpGAvWUHuE88HrhXofCWWQu8H_vlVPBQ9-chJis7S7fieywnARHJhufdn73yIN9MoskpJtZ6mwH71WWGYVx5F3SqIUahksZxbFoz632fx-mZRE-t0hDJH4B2ztE-w,https://serpapi.com/search.json?data_id=0x31421719573522c9%3A0x11c42094252d2251&engine=google_maps_reviews&hl=vi,https://serpapi.com/search.json?data_id=0x31421719573522c9%3A0x11c42094252d2251&engine=google_maps_photos&hl=vi,https://serpapi.com/search.json?engine=google_maps&google_domain=google.com&hl=vi&place_id=ChIJySI1VxkXQjERUSItJZQgxBE,"{""thứ hai"": ""Mở cửa cả ngày"", ""thứ ba"": ""Mở cửa cả ngày"", ""thứ tư"": ""Mở cửa cả ngày"", ""thứ năm"": ""Mở cửa cả ngày"", ""thứ sáu"": ""Mở cửa cả ngày"", ""thứ bảy"": ""Mở cửa cả ngày"", ""chủ nhật"": ""Mở cửa cả ngày""}","{""Ăn_tại_chỗ"": true, ""Đồ_ăn_mang_đi"": true}"
Quán nhậu Đà Nẵng,1,Bé Ni 2,ChIJySI1VxkXQjERUSItJZQgxBE,0x31421719573522c9:0x11c42094252d2251,1280184014731027025,/g/1pzwdq9yk,4.8,9750.0,,Nhà hàng hải sản,"Nhà hàng hải sản, Nhà hàng",seafood_restaurant,"seafood_restaurant, restaurant","228 Võ Nguyên Giáp, Phước Mỹ, Sơn Trà, Đà Nẵng 550000, Việt Nam",Mở cả ngày,+84 773 515 685,,16.066801599999998,108.2449953,"""Quán đồ ăn ngon, giá vừa phải, điểm tốt là phục vụ rất ok!""",https://lh3.googleusercontent.com/gps-cs-s/AC9h4noRAouk1aRGOIq2PXOWTxDJhuG_YexGj3o-Gj7ANGSzhjBIYzc4BaIGhvJybAlhTQ15ToXE3rbKlaMC5RNenkQArQrwbRLX8VnG_F8_4HzJyffaAG0VJU_VmGjGzUfVWWlmSmtQ=w122-h92-k-no,https://serpapi.com/images/url/ye7TdnicBcFbjoIwFADQFVXkYdRJ5qO-ruBrQAT8IkAKDZRepWVU9uci3I3nfN5c65v6MQzB7VGFWAnWK9YVKDWTelRga1Q3RQpFlEGXc-5IDCj2jZkFcHLv1l9yisPnyuM9pFf2hNpGAvWUHuE88HrhXofCWWQu8H_vlVPBQ9-chJis7S7fieywnARHJhufdn73yIN9MoskpJtZ6mwH71WWGYVx5F3SqIUahksZxbFoz632fx-mZRE-t0hDJH4B2ztE-w,https://serpapi.com/search.json?data_id=0x31421719573522c9%3A0x11c42094252d2251&engine=google_maps_reviews&hl=vi,https://serpapi.com/search.json?data_id=0x31421719573522c9%3A0x11c42094252d2251&engine=google_maps_photos&hl=vi,https://serpapi.com/search.json?engine=google_maps&google_domain=google.com&hl=vi&place_id=ChIJySI1VxkXQjERUSItJZQgxBE,"{""thứ hai"": ""Mở cửa cả ngày"", ""thứ ba"": ""Mở cửa cả ngày"", ""thứ tư"": ""Mở cửa cả ngày"", ""thứ năm"": ""Mở cửa cả ngày"", ""thứ sáu"": ""Mở cửa cả ngày"", ""thứ bảy"": ""Mở cửa cả ngày"", ""chủ nhật"": ""Mở cửa cả ngày""}","{""Ăn_tại_chỗ"": true, ""Đồ_ăn_mang_đi"": true}"
Quán ăn ngon Đà Nẵng,1,Cơm nhà vui,ChIJi5XzTqsZQjERn5HbwcdvD5Y,0x314219ab4ef3958b:0x960f6fc7c1db919f,10812984134081417631,/g/11k02pk2dj,4.9,2153.0,100-200 N ₫,Nhà hàng Việt Nam,Nhà hàng Việt Nam,vietnamese_restaurant,vietnamese_restaurant,"86 Đ. 2 Tháng 9, Phước Ninh, Hải Châu, Đà Nẵng 10000, Việt Nam",Đang mở cửa ⋅ Đóng cửa lúc 22:00,+84 933 865 786,,16.0566182,108.22206709999999,"""Quán món ngon, nhân viên nhiệt tình, không gian thoáng mát""",https://lh3.googleusercontent.com/gps-cs-s/AC9h4nrsFSYCKm8KaZNF2YUDmzPZs8vBGCPSsRrGuEuMJxXXG4I0yyI5OQUUqdmh5US81sIOrGB85F4mdQE5zkIm5uQlLEqh3XsPhblVs3JNzxQ0PNI6R5nXebFNUlpNjA2YXPhEBgUS=w80-h106-k-no,https://serpapi.com/images/url/JfALdnicBcHdboIwGADQJ6qgUNIt8UIYkKqrRdKleDeB0Gh_kA-m8n4-hG-zc94vNY49fHqeVsGic67T7QTtUDs7tnZc1M54XQ-oBgTeJvlQoR0gK6tkZ8ju98SyVSW-zMxPQP7iPOElHId8Sqfv7UPKPKT-80nxoRDi1hiFRUmWQA9DHhOchaYpUjxfqcFToffpTQUSuDrrHwi2bH4UPmc0OmIr23PGhO7ZZbOqJFdp3IlyfSc-Uks_Qldk3T-aHUPS,https://serpapi.com/search.json?data_id=0x314219ab4ef3958b%3A0x960f6fc7c1db919f&engine=google_maps_reviews&hl=vi,https://serpapi.com/search.json?data_id=0x314219ab4ef3958b%3A0x960f6fc7c1db919f&engine=google_maps_photos&hl=vi,https://serpapi.com/search.json?engine=google_maps&google_domain=google.com&hl=vi&place_id=ChIJi5XzTqsZQjERn5HbwcdvD5Y,"{""thứ hai"": ""10:00–22:00"", ""thứ ba"": ""10:00–22:00"", ""thứ tư"": ""10:00–22:00"", ""thứ năm"": ""10:00–22:00"", ""thứ sáu"": ""10:00–22:00"", ""thứ bảy"": ""10:00–22:00"", ""chủ nhật"": ""10:00–22:00""}","{""Ăn_tại_chỗ"": true, ""Đồ_ăn_mang_đi"": true, ""giao_hàng"": true}"
Quán ăn ngon Đà Nẵng,3,Cô Ba Phở bò,ChIJQYGTw4MZQjER9-WZcXZUfAM,0x31421983c3938141:0x37c54767199e5f7,251168546914690551,/g/11gnpx_f59,4.8,6552.0,100-200 N ₫,Nhà hàng,Nhà hàng,restaurant,restaurant,"154 Bạch Đằng, Hải Châu, Đà Nẵng 550000, Việt Nam",Đang mở cửa ⋅ Đóng cửa lúc 22:00,+84 236 3996 268,,16.0669705,108.22471879999999,"""Món phở ở đây hương vị đậm đà, thịt bò tươi ăn rất ngon.""",https://lh3.googleusercontent.com/gps-cs-s/AC9h4nr-EuWlqFjfwInwbF-cTbaZpgxUfveY_xa9_MJ7bxuJHKERUHTZgm2mooIr-PenlYEcxiPbjRL6wSwuCXB0VnMyckDCXOb4LNCt_4--1XGflVKdInBTMNrHtIvalLyr-S-hbaA=w122-h92-k-no,https://serpapi.com/images/url/cf1Oe3icBcFRboIwGADgE_2ijGzBZA_KQFBwRhGRF0K70qqlZW2xeD8v4W38vteTGdPrueNw9jGhUlJOBk0UlsIQYSZYdg7tNWAN2lkEPvOEgnA48f_o2tpEWBQBzlFT9XQ8tndyrsfGr7P1FxqHdbwJ98c4r2jndlImCnZE8HOIx8sOXffppz3YISiX00JkD3z7Ccpf5KXbwNQewKxctbzY_CVimWdbFZvk3vD0oeAADDWLbztzXWC-CzcQ8g0rPUVq,https://serpapi.com/search.json?data_id=0x31421983c3938141%3A0x37c54767199e5f7&engine=google_maps_reviews&hl=vi,https://serpapi.com/search.json?data_id=0x31421983c3938141%3A0x37c54767199e5f7&engine=google_maps_photos&hl=vi,https://serpapi.com/search.json?engine=google_maps&google_domain=google.com&hl=vi&place_id=ChIJQYGTw4MZQjER9-WZcXZUfAM,"{""thứ hai"": ""10:00–22:00"", ""thứ ba"": ""10:00–22:00"", ""thứ tư"": ""10:00–22:00"", ""thứ năm"": ""10:00–22:00"", ""thứ sáu"": ""10:00–22:00"", ""thứ bảy"": ""10:00–22:00"", ""chủ nhật"": ""10:00–22:00""}","{""Ăn_tại_chỗ"": true, ""Đồ_ăn_mang_đi"": true, ""giao_hàng"": true}"
Quán ăn ngon Đà Nẵng,4,Quán Hải Sản Thời Cổ Đà Nẵng - Seafood Restaurant,ChIJ1Xr5dnkXQjERSYpx3HJqSj0,0x3142177976f97ad5:0x3d4a6a72dc718a49,4416459426147437129,/g/11fd4pvng9,4.7,3245.0,$$,Nhà hàng hải sản,"Nhà hàng hải sản, Nhà hàng, Chợ hải sản, Nhà hàng Việt Nam",seafood_restaurant,"seafood_restaurant, restaurant, seafood_market, vietnamese_restaurant","354/1 Võ Nguyên Giáp, Bắc Mỹ An, Ngũ Hành Sơn, Đà Nẵng 550000, Việt Nam",Đang mở cửa ⋅ Đóng cửa lúc 23:00,+84 905 749 079,https://www.facebook.com/haisanthoico?mibextid=ZbWKwL,16.0438626,108.2473136,"""món ăn ngon, tươi, các bạn nhân viên nhiệt tình, được bóc tôm, bề bề cho.""",https://lh3.googleusercontent.com/gps-cs-s/AC9h4noNaGSmIH-cZ0VYUOS-D1tCHEDBsbx8rkLyPS573ijC373pq7drevCxV-P0vSo-w48GJ1GiRGoHHTvdPC0PPU4BIMGcPedFMOwJl_6MdjA8qA57H1rpJnyQSaxg0CgBkJMyhAqYjA=w122-h92-k-no,https://serpapi.com/images/url/s9GqW3icBcHbbsIgAADQL8JeXeuSPVB0YGOVyTTRF6OUgG2FtrBevnDfsL_ZOX-_yrnWvnteo6KFNEY24seKnhvthHYLbl6ebC3gFlgPopWKtdnfMXttCeBX_3w5HRhYBw6RzTqzjynt691M2TKJnhWKkqjtkrIXA5rOgPoDM2CMU5wH-HnEhpDvoaTIp_QUZ9sCcyrKz-Iw5s3trSgrmHZwmZCgb3M9f7H7JH0kszovZgW7SwU_xiAMgVqFoAba_AOTHUNJ,https://serpapi.com/search.json?data_id=0x3142177976f97ad5%3A0x3d4a6a72dc718a49&engine=google_maps_reviews&hl=vi,https://serpapi.com/search.json?data_id=0x3142177976f97ad5%3A0x3d4a6a72dc718a49&engine=google_maps_photos&hl=vi,https://serpapi.com/search.json?engine=google_maps&google_domain=google.com&hl=vi&place_id=ChIJ1Xr5dnkXQjERSYpx3HJqSj0,"{""thứ hai"": ""10:00–23:00"", ""thứ ba"": ""10:00–23:00"", ""thứ tư"": ""10:00–23:00"", ""thứ năm"": ""10:00–23:00"", ""thứ sáu"": ""10:00–23:00"", ""thứ bảy"": ""10:00–23:00"", ""chủ nhật"": ""10:00–23:00""}","{""Ăn_tại_chỗ"": true, ""Đồ_ăn_mang_đi"": true, ""giao_hàng_gián_tiếp"": true}"
Quán ăn ngon Đà Nẵng,5,Quán Cô Hồng - Đặc Sản Đà Nẵng,ChIJIyaMMCoXQjERjisDFU7W4mI,0x3142172a308c2623:0x62e2d64e15032b8e,7125493191301868430,/g/11t27gppbv,4.5,1392.0,100-200 N ₫,Nhà hàng Việt Nam,"Nhà hàng Việt Nam, Nhà hàng",vietnamese_restaurant,"vietnamese_restaurant, restaurant","103 Nguyễn Văn Thoại, An Hải Đông, Sơn Trà, Đà Nẵng 550000, Việt Nam",Sắp đóng cửa ⋅ 21:30 ⋅ Mở lúc 9:00 Th 3,+84 905 661 186,http://www.quancohong.com/,16.0543959,108.2393137,"""Món ăn ngon, không gian quán sạch đẹp, nhân viên dễ thương, nhiệt tình""",https://lh3.googleusercontent.com/gps-cs-s/AC9h4nq-fX4BeL1RqdhgBDNr0aR3hd_vUJ9W8nVOZ7bx9D4eZntRkWn23Iz3BTH0Dy86E0HQ5YllVCtvrr43_wT8Scy2EhIzNT0SL97nOaS5QcGHIr2wDVGP8LVht16Bg8DePcs_7zV6=w163-h92-k-no,https://serpapi.com/images/url/mgwvfHicBcFbsoIgAADQFZEPTKGZ-5HRpI3TQ40eP04RwUwGBZQ399ci2k3nfD_SubsdeV4r4UBoLVr-tNwwrRxXbsD0zRN3C5gF1htPsIzUA1x2UcqLoHycpUjJwvjHEspz89rM8RYpujwkp39MIn5QrrxuVQjzHqZ15pM3iqd-th7u25ZO3MuYCDZdjSr2Dqcy7xe1XxU4UctjNVyzWZabsCN0tkIFlS6IU4EIXzHbJD2N_7oghkDiEFyB0j8wfEJ2,https://serpapi.com/search.json?data_id=0x3142172a308c2623%3A0x62e2d64e15032b8e&engine=google_maps_reviews&hl=vi,https://serpapi.com/search.json?data_id=0x3142172a308c2623%3A0x62e2d64e15032b8e&engine=google_maps_photos&hl=vi,https://serpapi.com/search.json?engine=google_maps&google_domain=google.com&hl=vi&place_id=ChIJIyaMMCoXQjERjisDFU7W4mI,"{""thứ hai"": ""09:00–21:30"", ""thứ ba"": ""09:00–21:30"", ""thứ tư"": ""09:00–21:30"", ""thứ năm"": ""09:00–21:30"", ""thứ sáu"": ""09:00–21:30"", ""thứ bảy"": ""09:00–21:30"", ""chủ nhật"": ""09:00–21:30""}","{""Ăn_tại_chỗ"": true, ""mua_hàng_ngay_trên_xe"": true, ""giao_hàng_gián_tiếp"": true}"
