keyword,position,title,place_id,data_id,data_cid,provider_id,rating,reviews,price,type,types,type_id,type_ids,address,open_state,phone,website,latitude,longitude,user_review,thumbnail,serpapi_thumbnail,reviews_link,photos_link,place_id_search,operating_hours_json,service_options_json
Bún bò Đà Nẵng,13,Bún Bò Huế Thượng Thành,ChIJ-3Ib2XAZQjERfgXezNQECUw,0x31421970d91b72fb:0x4c0904d4ccde057e,5478915733689599358,/g/11gmcdlxkf,4.4,237.0,1-100.000 ₫,Nhà hàng,Nhà hàng,restaurant,restaurant,"139 Nguyễn Hữu Thọ, Hòa Thuận Nam, Hải Châu, Đà Nẵng 550000, Việt Nam",Đã đóng cửa ⋅ Mở lúc 5:30 Th 3,+84 962 922 444,,16.0466853,108.2098738,,https://lh3.googleusercontent.com/gps-cs-s/AC9h4np5CeamVlwQ3PDOCq-3e4nb2QRrnlaLSAmLB36v6l1SQTpLI9TedKAeNKS9-9t0h-57MEFsxFwhJpBzcpr3xmuYCej7lBfFD9nLok12KjzRtt20AuYEAIcptiNFJunAse3wZuRV1w=w122-h92-k-no,https://serpapi.com/images/url/Cs2HKHicBcHdDoIgGADQJyIT-hltXaDlVtqP2trqruhLKgQSiNYL9gy9Tef8vsI5YydRJAXpNVo3EryFjmvlQLke123UGIu4RTZiKRUDZYYpnNq9DCXZzjbpExEYqDMuq07JU1GztkjI6DWScV3uTLGgO7jkDNZ5TRF1fYGG49U8s-8siKVJPtx05N36Qwr3sUyu2YyqQj9inN8_lXO4z_xhzhbcuNs6W3rFLJBw9NU-DtMQY4wExeiBlP4D8PtEmQ,https://serpapi.com/search.json?data_id=0x31421970d91b72fb%3A0x4c0904d4ccde057e&engine=google_maps_reviews&hl=vi,https://serpapi.com/search.json?data_id=0x31421970d91b72fb%3A0x4c0904d4ccde057e&engine=google_maps_photos&hl=vi,https://serpapi.com/search.json?engine=google_maps&google_domain=google.com&hl=vi&place_id=ChIJ-3Ib2XAZQjERfgXezNQECUw,"{""thứ hai"": ""05:30–11:00"", ""thứ ba"": ""05:30–11:00"", ""thứ tư"": ""05:30–11:00"", ""thứ năm"": ""05:30–11:00"", ""thứ sáu"": ""05:30–11:00"", ""thứ bảy"": ""06:00–11:00"", ""chủ nhật"": ""05:30–11:00""}","{""Ăn_tại_chỗ"": true, ""mua_hàng_ngay_trên_xe"": true, ""giao_hàng_gián_tiếp"": true}"
KFC Đà Nẵng,4,KFC 21 Lê Duẩn,ChIJ-3x8RtwZQjERqRsqM1yvhiU,0x314219dc467c7cfb:0x2586af5c332a1ba9,2704041436812811177,/g/11tjs7cdly,4.6,562.0,100-200 N ₫,Cửa hàng bán đồ ăn nấu sẵn,Cửa hàng bán đồ ăn nấu sẵn,deli,deli,"21 Đ. Lê Duẩn, Hải Châu, Đà Nẵng 550000, Việt Nam",Đang mở cửa ⋅ Đóng cửa lúc 22:00,+84 236 3221 035,http://kfcvietnam.com.vn/,16.0713832,108.2215553,,https://lh3.googleusercontent.com/gps-cs-s/AC9h4nqknbgBeJiEzTCL6iMN4RXZ4iwwFY65IS8QZMPKAbyE65TbVkWGP7Y-prVgVpr7N5B1xxHUqE2POVxmdsR17WzPWRZ6bWFfPPM4yV1Ft8uL4vglPy1kzrT7GeUyIAytHC5u3zUL=w200-h92-k-no,https://serpapi.com/images/url/tLVa53icBcHhtkIwAADgJxrRUJ3TDzmoG7XE3Pzk7o5Dm2xi3u8-xH2bvu__r5ayFztd7-q1RjmnHRkFGSrOJGFSq_hTp70AlQBCd71tDdmrZSU9kK_GX1Ivspv4ApPvAjbTFDxs63Tf3IoYnd1S-baVlrjNQ-Q8QD9givvBuVgHY56P2cs30RXPzx-RGE6-oDwp7DIPfhGKocJGIDdjBN-0Q8polyF1QpKpk6vk0bPG9ZJF-8lcrUC9NUELGP8Ai4JD7A,https://serpapi.com/search.json?data_id=0x314219dc467c7cfb%3A0x2586af5c332a1ba9&engine=google_maps_reviews&hl=vi,https://serpapi.com/search.json?data_id=0x314219dc467c7cfb%3A0x2586af5c332a1ba9&engine=google_maps_photos&hl=vi,https://serpapi.com/search.json?engine=google_maps&google_domain=google.com&hl=vi&place_id=ChIJ-3x8RtwZQjERqRsqM1yvhiU,"{""thứ hai"": ""10:00–22:00"", ""thứ ba"": ""10:00–22:00"", ""thứ tư"": ""10:00–22:00"", ""thứ năm"": ""10:00–22:00"", ""thứ sáu"": ""10:00–22:00"", ""thứ bảy"": ""10:00–22:00"", ""chủ nhật"": ""10:00–22:00""}","{""Ăn_tại_chỗ"": true, ""Đồ_ăn_mang_đi"": true, ""giao_hàng_gián_tiếp"": true}"
Bánh tráng cuốn thịt heo Đà Nẵng,2,Ẩm Thực Hoàng Tín - Bánh Tráng Cuốn Thịt Heo,ChIJ-5uyO8sZQjERdEXQ33dLdVM,0x314219cb3bb29bfb:0x53754b77dfd04574,6013795855651325300,/g/11cm7554_w,4.0,651.0,100-200 N ₫,Nhà hàng,"Nhà hàng, Nhà hàng Việt Nam",restaurant,"restaurant, vietnamese_restaurant","62A Nguyễn Văn Thoại, Bắc Mỹ Phú, Ngũ Hành Sơn, Đà Nẵng 550000, Việt Nam",Đang mở cửa ⋅ Đóng cửa lúc 22:00,+84 905 156 012,https://amthuchoangtin.com/,16.0542852,108.2398231,"""Bánh tráng cuốn thịt heo ngon, thịt và rau rất tươi, nước chấm vừa vị.""",https://lh3.googleusercontent.com/p/AF1QipNRo057I9GQg9BWw0b_eVXr36kTT_IhYuE4UAJI=w138-h92-k-no,https://serpapi.com/images/url/pN45T3icuxmXUVJSUGylr5-TYayXnp-fnpNaWpxalJyfV5KaV6KXnJ-rX6Dv6GYYmFngF5RvYGruaekemG7pFF5ukBSfGhZRZGyWHRIS75kRWepqEuro5WlbbmhsoZthaaSbrZuXDwCIUSBl,https://serpapi.com/search.json?data_id=0x314219cb3bb29bfb%3A0x53754b77dfd04574&engine=google_maps_reviews&hl=vi,https://serpapi.com/search.json?data_id=0x314219cb3bb29bfb%3A0x53754b77dfd04574&engine=google_maps_photos&hl=vi,https://serpapi.com/search.json?engine=google_maps&google_domain=google.com&hl=vi&place_id=ChIJ-5uyO8sZQjERdEXQ33dLdVM,"{""thứ hai"": ""08:00–22:00"", ""thứ ba"": ""08:00–22:00"", ""thứ tư"": ""08:00–22:00"", ""thứ năm"": ""08:00–22:00"", ""thứ sáu"": ""08:00–22:00"", ""thứ bảy"": ""08:00–22:00"", ""chủ nhật"": ""08:00–22:00""}","{""Ăn_tại_chỗ"": true, ""mua_hàng_ngay_trên_xe"": true, ""giao_hàng_gián_tiếp"": true}"
Quán ăn chay Đà Nẵng,5,Bếp Chay Không | Khong Vegan Kitchen | 자작 국제적이고 베트남 비건 요리,ChIJ-8AB3oAXQjERptcQoIvuNCE,0x31421780de01c0fb:0x2134ee8ba010d7a6,2392799585493899174,/g/11j5672bmh,4.8,752.0,1-100.000 ₫,Nhà hàng món chay,Nhà hàng món chay,vegan_restaurant,vegan_restaurant,"81 Phan Tôn, Bắc Mỹ Phú, Ngũ Hành Sơn, Đà Nẵng 550000, Việt Nam",Đang mở cửa ⋅ Đóng cửa lúc 22:30,+84 353 854 949,https://www.facebook.com/KhongVeganKitchen/,16.0519683,108.2439186,"""Món taco chay ở đây ngon cực, nhân viên dễ thương, nhiệt tình 😍""",https://lh3.googleusercontent.com/gps-cs-s/AC9h4npLCjIMWBHkOB7jGq0mF9zIZIItBIeY84Y-v3Nd0X9NU2Aj4L5ARFnoDM4gyIJV4aH_B48v-s5J66bKSuj4_3CwNnOx8dvcXDfh3E-Opv02iN3JhycO_Aq6CkzizgfXA0V0CeYz=w163-h92-k-no,https://serpapi.com/images/url/634KuXicBcFRkoIgAADQE5EkZLozfSBthaXO1Gyr_TgtEaQFFmib9-sQe5t97--tnGvth-ddFRpJY-RVdFY8uNFOaDfi5ubJ1gJugfUIjRTW7YbWLP2OV00eT-vlHd4W0cAOjLmYiTLEJehRdoJFlH35pMabCdkutJmnWL5YssfHVRXjsAd2kgTBz3rX1bhC9Jnp_Dc89byYnxX6BHnbQ_-SoUS9eF6Re0Cb4TLIc0HgHlJRDrPnOEBART5ogDb_0VZCIQ,https://serpapi.com/search.json?data_id=0x31421780de01c0fb%3A0x2134ee8ba010d7a6&engine=google_maps_reviews&hl=vi,https://serpapi.com/search.json?data_id=0x31421780de01c0fb%3A0x2134ee8ba010d7a6&engine=google_maps_photos&hl=vi,https://serpapi.com/search.json?engine=google_maps&google_domain=google.com&hl=vi&place_id=ChIJ-8AB3oAXQjERptcQoIvuNCE,"{""thứ hai"": ""10:00–22:30"", ""thứ ba"": ""10:30–22:30"", ""thứ tư"": ""10:00–22:30"", ""thứ năm"": ""10:00–22:30"", ""thứ sáu"": ""10:00–22:30"", ""thứ bảy"": ""10:00–22:30"", ""chủ nhật"": ""10:00–22:30""}","{""Ăn_tại_chỗ"": true, ""nhận_hàng_ở_lề_đường"": true, ""giao_hàng_gián_tiếp"": true}"
Phở Đà Nẵng,10,Phở Cổ,ChIJ-8ZiS8IZQjERZxAsTrpk3RM,0x314219c24b62c6fb:0x13dd64ba4e2c1067,1431411007911891047,/g/11skbq203t,4.7,594.0,1-100.000 ₫,Nhà hàng Việt Nam,Nhà hàng Việt Nam,vietnamese_restaurant,vietnamese_restaurant,"74 Thái Phiên, Phước Ninh, Hải Châu, Đà Nẵng 550000, Việt Nam",Đang mở cửa ⋅ Đóng cửa lúc 1:00,+84 981 983 426,https://www.facebook.com/profile.php?id=100090677306981&mibextid=LQQJ4d,16.0652261,108.2213846,,https://lh3.googleusercontent.com/gps-cs-s/AC9h4npHjVqrGuHTq9wsxcJJLOKb1vy0hS9SvHbjpe_D6YmOZceHQ10NGYQddnjbNlFTPPXRxvasICOWp4L69HE-gA6uvzshDT3kqlTr6ULyOSuCUNWhw_hK7D1WJTSIN6Av45dpwaFsygIZLRI7=w80-h177-k-no,https://serpapi.com/images/url/ZEhRpHicBcFRboIwAADQE1UgsjKW-EFgWpCAShnTHyOlaYPYFgpFvOMO4G323vuPj6PSX5bV8fWKSck6Omk6EClGKsYVkQ-LKQ2IBtoKQp-7QqH2px92E8K9P-snSZI039eOWWxe-IVBdavoNYLnR34hFB0dO9udj00j2jrrtvhw-D09zU3HYV4pN4U--gYsgJN5aR7h9b3v8ADLdMmLKSyzis9Xvvcip0pwEWcwMO5Ho-bbVi8svqSn2NvMnzbgjueBOxDyH2ADR6w,https://serpapi.com/search.json?data_id=0x314219c24b62c6fb%3A0x13dd64ba4e2c1067&engine=google_maps_reviews&hl=vi,https://serpapi.com/search.json?data_id=0x314219c24b62c6fb%3A0x13dd64ba4e2c1067&engine=google_maps_photos&hl=vi,https://serpapi.com/search.json?engine=google_maps&google_domain=google.com&hl=vi&place_id=ChIJ-8ZiS8IZQjERZxAsTrpk3RM,"{""thứ hai"": ""07:00–01:00"", ""thứ ba"": ""07:00–01:00"", ""thứ tư"": ""07:00–01:00"", ""thứ năm"": ""07:00–01:00"", ""thứ sáu"": ""07:00–01:00"", ""thứ bảy"": ""07:00–01:00"", ""chủ nhật"": ""07:00–01:00""}","{""Ăn_tại_chỗ"": true, ""mua_hàng_ngay_trên_xe"": true, ""giao_hàng_gián_tiếp"": true}"
Bánh tráng cuốn thịt heo Đà Nẵng,18,Quán Quảng Nôm - Bánh Tráng Cuốn Thịt Heo,ChIJ-T1pZgAZQjERrutuYKG1pFY,0x3142190066693df9:0x56a4b5a1606eebae,6243314688154594222,/g/11vzpdnr34,5.0,5.0,,Nhà hàng,Nhà hàng,restaurant,restaurant,"267 Hà Huy Tập, Thanh Khê Đông, Thanh Khê, Đà Nẵng 550000, Việt Nam",,+84 333 504 409,,16.0599114,108.1879557,"""Quán ngon, món bánh tráng cuốn ngon thiệt sự""",https://lh3.googleusercontent.com/gps-cs-s/AC9h4nr72Y9ByhH_-pOT7nu7CtzYrTiuPE8jhCYFPBZ4zarUu0QVn9m9v-FLG_IaS5WihFE8iFjfdjKnD2mjWMZp4F9cPLXgyAJwM4yPuKL3-M0GiPIWxNw2y9IihoczNnwbvGy7tqaA=w80-h106-k-no,https://serpapi.com/images/url/PCnoEXicBcFLcoIwAADQE0UoopDOuEA0lAoaxw_ixsGUkqAklCTScD8P4W187_WkSrXy07LudDyqhKjupZZlRwRXJVcjIhqraiUgEkgrCCF1eec5OZwb-nUB7Wbvce2Fasi7PdN46dc0zBGen92h6A7a3h45bOADoCS6xMVukjGKlj5D9e9PveILp6mz9Ny6CBKcnCoTfPepa7BeJWOQ2hHDcfa_7h0DY0YFGda8vz4i46m_Ipj1vg3ohz0FN8DFG6pKRJk,https://serpapi.com/search.json?data_id=0x3142190066693df9%3A0x56a4b5a1606eebae&engine=google_maps_reviews&hl=vi,https://serpapi.com/search.json?data_id=0x3142190066693df9%3A0x56a4b5a1606eebae&engine=google_maps_photos&hl=vi,https://serpapi.com/search.json?engine=google_maps&google_domain=google.com&hl=vi&place_id=ChIJ-T1pZgAZQjERrutuYKG1pFY,,"{""Ăn_tại_chỗ"": true, ""Đồ_ăn_mang_đi"": true}"
Best food Da Nang,1,Bếp Cuốn Đà Nẵng,ChIJ-UgnY_QXQjERJTTHpNvcFNw,0x314217f4632748f9:0xdc14dcdba4c73425,15858543023798826021,/g/11hz90gsyw,4.9,11875.0,100-300 N ₫,Nhà hàng Việt Nam,"Nhà hàng Việt Nam, Nhà hàng",vietnamese_restaurant,"vietnamese_restaurant, restaurant","31-33 Trần Bạch Đằng, Phước Mỹ, Sơn Trà, Đà Nẵng 550000, Việt Nam",Đang mở cửa ⋅ Đóng cửa lúc 22:00,+84 702 689 989,https://www.facebook.com/DINNER.LUNCH.BEPCUON/,16.0579628,108.2451505,"""Các món cuốn ngon, trang trí đẹp mắt, nên đặt chỗ trước.""",https://lh3.googleusercontent.com/gps-cs-s/AC9h4nqMXMLtnEFfICslMvTmhHfPAuXowF_5qZg43w7cwLsDVYwVGF2nzYSpPJY-wuWRF13VwzgveW6fJC7V-x_f8HalLHeBOS44VrlcdxR2gb9vn-2is2oe0FYZZAA1qnrbNsKcACfc=w122-h92-k-no,https://serpapi.com/images/url/5eYOd3icBcHdboIwGADQJ6pIwTmW7KLiOnSwGV2KcGNm15_F2gJfocb320PsbXbO36_2voOnKDI6mSnnlBEjiIE764X1M-6ukeoAcUAQkTzTqe2rY1V6-0LlJgdTTZ9XXcgdGY8u0NOib1WahCUPJaxZE9grxfbeHLrdtkFhrPc0Tli4q0nUD3KbLxm6neRj8WXKQqw-DmnKBsO_b3usztlkEf4B7MScNm1LSNzb4fwOb5zkkj-HGGOkM4wuyLp_FoVE_A,https://serpapi.com/search.json?data_id=0x314217f4632748f9%3A0xdc14dcdba4c73425&engine=google_maps_reviews&hl=vi,https://serpapi.com/search.json?data_id=0x314217f4632748f9%3A0xdc14dcdba4c73425&engine=google_maps_photos&hl=vi,https://serpapi.com/search.json?engine=google_maps&google_domain=google.com&hl=vi&place_id=ChIJ-UgnY_QXQjERJTTHpNvcFNw,"{""thứ hai"": ""10:30–22:00"", ""thứ ba"": ""10:30–22:00"", ""thứ tư"": ""10:30–22:00"", ""thứ năm"": ""10:30–22:00"", ""thứ sáu"": ""10:30–22:00"", ""thứ bảy"": ""10:30–22:00"", ""chủ nhật"": ""10:30–22:00""}","{""Ăn_tại_chỗ"": true, ""Đồ_ăn_mang_đi"": true, ""giao_hàng_gián_tiếp"": true}"
Buffet Đà Nẵng,15,Gang Yu Hot Pot,ChIJ-VaWslgZQjERwaL3uKR9fB4,0x31421958b29656f9:0x1e7c7da4b8f7a2c1,2196768864681304769,/g/11jgdgm2_f,4.8,1345.0,200-300 N ₫,Nhà hàng món lẩu,"Nhà hàng món lẩu, Nhà hàng tiệc đứng",hot_pot_restaurant,"hot_pot_restaurant, buffet_restaurant","87 Yên Bái, Phước Ninh, Hải Châu, Đà Nẵng 550000, Việt Nam",Đang mở cửa ⋅ Đóng cửa lúc 2:00,+84 342 366 988,,16.064337899999998,108.2224494,"""Buffet đồ ăn ngon
Không gian yên tĩnh
Nhân viên dễ thương, nhiệt tình :D""",https://lh3.googleusercontent.com/gps-cs-s/AC9h4nqLzVPjkIMbGFaimyUpsjt3ro7JAzWoBTUqJyiGDrgijhD0vp7X4yDU54pXCyhfzb16RyXcTUFfMbB2QuPnfdo0aAG5fhs7hnKHJ9W8eZF3RhH-W2cRk8OFOSHhdiZoR5HMaAjmPw=w122-h92-k-no,https://serpapi.com/images/url/OMRYRXicBcFBcoIwFADQE0U0QJHOdIEygFhGSqUw7iACH5D8SGKdcMGewdv0vdcfKCXku2HcwFx1iN2techmZshVw9WK4WR0QhImiTS8vQsWv38uP-kwHpI6DKp-0rmQgzJndGJvKXB3zu-x7kN_7voB_PWvcEpL-7ltiXKvoV3qzVumS3bOgzapd_TrkfL2iuvKC-0WpAP8GMVusW0ugZlBRArKsnF7Ck7fEVz7C2Z2lFTeMKXPj-eGUgIuJSPh-A_XTkXG,https://serpapi.com/search.json?data_id=0x31421958b29656f9%3A0x1e7c7da4b8f7a2c1&engine=google_maps_reviews&hl=vi,https://serpapi.com/search.json?data_id=0x31421958b29656f9%3A0x1e7c7da4b8f7a2c1&engine=google_maps_photos&hl=vi,https://serpapi.com/search.json?engine=google_maps&google_domain=google.com&hl=vi&place_id=ChIJ-VaWslgZQjERwaL3uKR9fB4,"{""thứ hai"": ""10:30–14:00, 17:00–02:00"", ""thứ ba"": ""10:30–14:00, 17:00–02:00"", ""thứ tư"": ""10:30–14:00, 17:00–02:00"", ""thứ năm"": ""10:30–14:00, 17:00–02:00"", ""thứ sáu"": ""10:30–14:00, 17:00–02:00"", ""thứ bảy"": ""10:30–14:00, 17:00–02:00"", ""chủ nhật"": ""10:30–14:00, 17:00–02:00""}","{""Ăn_tại_chỗ"": true, ""mua_hàng_ngay_trên_xe"": true, ""giao_hàng_gián_tiếp"": true}"
Best food Da Nang,14,L'Italiano,ChIJ01Ivy_UXQjERJwJ4Q2UQ73s,0x314217f5cb2f52d3:0x7bef106543780227,8930374613208662567,/g/11cn5pgp82,4.7,2288.0,200-300 N ₫,Nhà hàng ý,Nhà hàng ý,italian_restaurant,italian_restaurant,"Lot 40 An Thượng 30, Bắc Mỹ An, Ngũ Hành Sơn, Đà Nẵng 550000, Việt Nam",Đang mở cửa ⋅ Đóng cửa lúc 22:00,+84 906 069 458,,16.051130399999998,108.2456882,"""Lâu lắm mới được ăn pizza ngon như ở đây.""",https://lh3.googleusercontent.com/gps-cs-s/AC9h4noC15xj-3F1RL_g93z3TJj2rSNH9BdMrnDt3FIWCImZeLIG2pqa4Ek880N_-L6eMpDMCd2bmHvuwulb-CNVzqUNctUDQPUkzdLZDua3zCnDc4n3q7pEjJUaCoyTdUOpkNutMgU=w80-h106-k-no,https://serpapi.com/images/url/aEV-IHicBcFZjsIgAADQE2EXqtNO4oeCS03LuDGT-GMqJTRdgBYYtefzEt7G996vylptvj2vreBEKCVa7gwfmJKWSzthqvOENoAZYLwFSqpIKhRMHzWA6-CYXUUCR3je1eFwIttkWeaDxBau0z-UdheepZtQ90W0auLYJ1eQzXiucY7K8NZt_93dtTeAyO_YU8IsxYc9bcYyu2BXwBFJzCIJ-y-9qne0QOp5LumPboizuaDze-yDKvBnoAFSfQDjLUOC,https://serpapi.com/search.json?data_id=0x314217f5cb2f52d3%3A0x7bef106543780227&engine=google_maps_reviews&hl=vi,https://serpapi.com/search.json?data_id=0x314217f5cb2f52d3%3A0x7bef106543780227&engine=google_maps_photos&hl=vi,https://serpapi.com/search.json?engine=google_maps&google_domain=google.com&hl=vi&place_id=ChIJ01Ivy_UXQjERJwJ4Q2UQ73s,"{""thứ hai"": ""10:30–14:00, 17:00–22:00"", ""thứ ba"": ""10:30–14:00, 17:00–22:00"", ""thứ tư"": ""10:30–14:00, 17:00–22:00"", ""thứ năm"": ""10:30–14:00, 17:00–22:00"", ""thứ sáu"": ""10:30–14:00, 17:00–22:00"", ""thứ bảy"": ""10:30–14:00, 17:00–22:00"", ""chủ nhật"": ""10:30–14:00, 17:00–22:00""}","{""Ăn_tại_chỗ"": true, ""nhận_hàng_ở_lề_đường"": true, ""giao_hàng_gián_tiếp"": true}"
Quán ốc Đà Nẵng,17,Ốc Nhà Mình,ChIJ03IRQToZQjERuR-avtagQ6o,0x3142193a411172d3:0xaa43a0d6be9a1fb9,12268826654068580281,/g/11sylp0q6t,4.2,98.0,100-200 N ₫,Quán ăn nhỏ,Quán ăn nhỏ,bistro,bistro,"107B Hà Huy Tập, Thanh Khê Đông, Thanh Khê, Đà Nẵng 550000, Việt Nam",Đang mở cửa ⋅ Đóng cửa lúc 22:30,+84 946 252 927,https://www.facebook.com/ocnhaminh107bhahuytap/?ref=page_internal,16.0662997,108.1921476,"""Size ốc ko quá to, nhưng các vị sốt ốc ăn siêu dính vs bắt miệng đó nha.""",https://lh3.googleusercontent.com/gps-cs-s/AC9h4nogq-0sYqT5sp671RICwL4XeAkVecJKUAUn1g1_QeLhK1mMX71_Cao3U0D_5MoTkQ69JMgmgdix9WlSuXSMs5IHl6_krxwGDKxhYAlkrtwhKYry01poC1q-dBxfkK34TXetqDJhr_Gjlrg_=w80-h108-k-no,https://serpapi.com/images/url/OlPxa3icBcFNjoIwGADQE1Xa8KNMMguExJHKwhEUVo3BTqst_aCtAQ_pAeY2vvf_lt6P7isItAxXAkBo_nTc9mA8N37VwxCI0aHeIRdkeSojA2JC2HVTHbsxWZPffT4fopZn6sz7kjZZY4gg7MgPkpKhateE5VcIG1ywuIJaHZO0rMQgbvclvejTsz1VLt7_6IQpu8y7gi6yy7Syfpa0sy9MRsjJhG7b5U_RMKpb7qeilJbtHtoK9j1vMJIEb5BCBj7PmEec,https://serpapi.com/search.json?data_id=0x3142193a411172d3%3A0xaa43a0d6be9a1fb9&engine=google_maps_reviews&hl=vi,https://serpapi.com/search.json?data_id=0x3142193a411172d3%3A0xaa43a0d6be9a1fb9&engine=google_maps_photos&hl=vi,https://serpapi.com/search.json?engine=google_maps&google_domain=google.com&hl=vi&place_id=ChIJ03IRQToZQjERuR-avtagQ6o,"{""thứ hai"": ""15:00–22:30"", ""thứ ba"": ""15:00–23:00"", ""thứ tư"": ""15:00–23:00"", ""thứ năm"": ""15:00–23:00"", ""thứ sáu"": ""15:00–23:00"", ""thứ bảy"": ""15:00–23:00"", ""chủ nhật"": ""15:00–23:00""}","{""Ăn_tại_chỗ"": true, ""mua_hàng_ngay_trên_xe"": true, ""giao_hàng_gián_tiếp"": true}"
